
Datum;TAMUQ.AQERT 1 Temp.[°C];AK;TAMUQ.AQERT 1 Humidity[%];AK;TAMUQ.AQERT 1 Pressure[HPasc];AK;TAMUQ.AQERT 1 W.Speed[m/s];AK;TAMUQ.AQERT 1 W.Direct[Degr];AK;TAMUQ.AQERT 1 Rain Vol[l/m²];AK;TAMUQ.AQERT 1 W.SpeedV[m/s];AK;TAMUQ.AQERT 1 WSpdMax[m/s];AK;TAMUQ.AQERT 1 0.265 µm[p/l];AK;TAMUQ.AQERT 1 0.290 µm[p/l];AK;TAMUQ.AQERT 1 0.325 µm[p/l];AK;TAMUQ.AQERT 1 0.375 µm[p/l];AK;TAMUQ.AQERT 1 0.425 µm[p/l];AK;TAMUQ.AQERT 1 0.475 µm[p/l];AK;TAMUQ.AQERT 1 0.540 µm[p/l];AK;TAMUQ.AQERT 1 0.615 µm[p/l];AK;TAMUQ.AQERT 1 0.675 µm[p/l];AK;TAMUQ.AQERT 1 0.750 µm[p/l];AK;TAMUQ.AQERT 1 0.900 µm[p/l];AK;TAMUQ.AQERT 1 1.150 µm[p/l];AK;TAMUQ.AQERT 1 1.450 µm[p/l];AK;TAMUQ.AQERT 1 1.800 µm[p/l];AK;TAMUQ.AQERT 1 2.250 µm[p/l];AK;TAMUQ.AQERT 1 2.750 µm[p/l];AK;TAMUQ.AQERT 1 3.250 µm[p/l];AK;TAMUQ.AQERT 1 3.750 µm[p/l];AK;TAMUQ.AQERT 1 4.500 µm[p/l];AK;TAMUQ.AQERT 1 5.750 µm[p/l];AK;TAMUQ.AQERT 1 7.000 µm[p/l];AK;TAMUQ.AQERT 1 8.000 µm[p/l];AK;TAMUQ.AQERT 1 9.250 µm[p/l];AK;TAMUQ.AQERT 1 11.25 µm[p/l];AK;TAMUQ.AQERT 1 13.75 µm[p/l];AK;TAMUQ.AQERT 1 16.25 µm[p/l];AK;TAMUQ.AQERT 1 18.75 µm[p/l];AK;TAMUQ.AQERT 1 22.50 µm[p/l];AK;TAMUQ.AQERT 1 27.50 µm[p/l];AK;TAMUQ.AQERT 1 31.00 µm[p/l];AK;

Datum;Temp.;AK;Humidity;AK;Pressure;AK;W.Speed;AK;W.Direct;AK;Rain Vol;AK;W.SpeedV;AK;WSpdMax;AK;0.265;AK;0.290;AK;0.325;AK;0.375;AK;0.425;AK;0.475;AK;0.540;AK;0.615;AK;0.675;AK;0.750;AK;0.900;AK;1.150;AK;1.450;AK;1.800;AK;2.250;AK;2.750;AK;3.250;AK;3.750;AK;4.500;AK;5.750;AK;7.000;AK;8.000;AK;9.250;AK;11.25;AK;13.75;AK;16.25;AK;18.75;AK;22.50;AK;27.50;AK;31.00;AK;34.00;E;NA

Station;548;TAMUQ.AQERT 1
16.05.2017 14:00:00;37.4995;;20.0105;;1003.93;;0.595072;;332.585;;0.0;;0.221247;;3.53787;;98580.4;;57266.7;;29012.6;;10280.1;;2639.72;;1048.61;;1449.65;;650.486;;351.667;;499.931;;374.306;;364.097;;192.917;;276.25;;242.375;;188.486;;105.917;;75.875;;102.264;;51.2639;;18.1528;;9.40278;;8.06944;;7.0;;3.94444;;3.13889;;1.90278;;2.66667;;1.86111;;0.583333;;1.125;;
16.05.2017 15:00:00;36.0913;;28.5236;;1003.9;;0.473762;;262.307;;0.0;;0.16472;;3.13434;;142814.0;;85385.5;;41695.3;;14742.0;;3607.71;;1391.46;;1902.43;;900.764;;473.125;;699.583;;530.556;;502.292;;300.347;;402.708;;321.292;;253.917;;143.861;;100.042;;131.847;;64.7917;;18.7778;;9.44444;;8.20833;;6.79167;;2.65278;;2.23611;;1.19444;;1.84722;;1.01389;;0.472222;;0.708333;;
21.05.2017 15:00:00;42.9125;;18.0319;;1001.98;;1.40496;;110.454;;0.0;;1.05446;;5.73407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.2017 16:00:00;42.3973;;18.786;;1001.84;;1.42282;;118.066;;0.0;;1.07491;;5.46468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.2017 17:00:00;41.4434;;19.0668;;1001.79;;1.21901;;136.124;;0.0;;0.867993;;4.64704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.2017 18:00:00;40.1405;;19.0157;;1002.19;;1.10107;;200.401;;0.0;;0.754861;;4.19036;;30830.8;;15579.2;;7902.1;;3813.04;;1507.88;;1059.86;;966.625;;526.569;;308.79;;521.829;;464.819;;446.219;;322.376;;478.352;;787.235;;767.338;;328.085;;243.449;;360.284;;188.007;;68.5394;;25.9005;;21.3332;;13.5162;;4.92766;;1.7964;;0.930098;;0.59478;;0.202686;;1.20711;;0.0;;
21.05.2017 19:00:00;38.5673;;22.9483;;1002.74;;1.06829;;283.038;;0.0;;0.893279;;4.15761;;30675.4;;14577.9;;7460.9;;3717.78;;1549.1;;1126.81;;1022.08;;562.292;;336.042;;577.222;;506.25;;488.542;;347.639;;497.917;;827.347;;807.069;;351.75;;256.194;;389.708;;214.208;;75.3472;;31.1806;;24.0;;18.125;;5.66667;;1.91667;;0.75;;0.597222;;0.0833334;;0.0833333;;0.0;;
21.05.2017 20:00:00;37.1932;;26.2096;;1003.29;;0.985681;;292.991;;0.0;;0.776348;;4.56477;;29497.4;;14230.3;;7298.26;;3686.18;;1521.04;;1077.22;;1008.47;;550.625;;339.653;;544.861;;478.333;;457.708;;317.153;;494.167;;791.639;;763.417;;338.361;;244.625;;367.958;;197.806;;72.4583;;29.3889;;23.8889;;16.5694;;5.81944;;1.88889;;1.06944;;0.444444;;0.0277778;;0.125;;0.0;;
